x y value
0.000000000000e+00 0.000000000000e+00 1.128740608692e-03
5.025125574321e-03 0.000000000000e+00 9.944904595613e-04
1.005025114864e-02 0.000000000000e+00 8.682236075401e-04
1.507537625730e-02 0.000000000000e+00 7.490534917451e-04
2.010050229728e-02 0.000000000000e+00 6.371514173225e-04
2.512562833726e-02 0.000000000000e+00 5.325099336915e-04
3.015075251460e-02 0.000000000000e+00 4.346670466475e-04
3.517587855458e-02 0.000000000000e+00 3.432057565078e-04
4.020100459456e-02 0.000000000000e+00 2.583866007626e-04
4.522613063455e-02 0.000000000000e+00 1.796807628125e-04
5.025125667453e-02 0.000000000000e+00 1.069910358638e-04
5.527638271451e-02 0.000000000000e+00 3.993045538664e-05
6.030150502920e-02 0.000000000000e+00 2.122600562871e-05
6.532663106918e-02 0.000000000000e+00 7.711071521044e-05
7.035175710917e-02 0.000000000000e+00 1.275525428355e-04
7.537688314915e-02 0.000000000000e+00 1.732674427330e-04
8.040200918913e-02 0.000000000000e+00 2.138521522284e-04
8.542713522911e-02 0.000000000000e+00 2.495311200619e-04
9.045226126909e-02 0.000000000000e+00 2.810256555676e-04
9.547738730907e-02 0.000000000000e+00 3.079427406192e-04
1.005025133491e-01 0.000000000000e+00 3.307508304715e-04
1.055276393890e-01 0.000000000000e+00 3.493670374155e-04
1.105527654290e-01 0.000000000000e+00 3.644339740276e-04
1.155778914690e-01 0.000000000000e+00 3.756517544389e-04
1.206030100584e-01 0.000000000000e+00 3.834562376142e-04
1.256281435490e-01 0.000000000000e+00 3.875792026520e-04
1.306532621384e-01 0.000000000000e+00 3.889314830303e-04
1.356783956289e-01 0.000000000000e+00 3.866329789162e-04
1.407035142183e-01 0.000000000000e+00 3.816802054644e-04
1.457286477089e-01 0.000000000000e+00 3.739353269339e-04
1.507537662983e-01 0.000000000000e+00 3.633219748735e-04
1.557788997889e-01 0.000000000000e+00 3.503449261189e-04
1.608040183783e-01 0.000000000000e+00 3.349781036377e-04
1.658291369677e-01 0.000000000000e+00 3.174394369125e-04
1.708542704582e-01 0.000000000000e+00 2.976581454277e-04
1.758793890476e-01 0.000000000000e+00 2.761222422123e-04
1.809045225382e-01 0.000000000000e+00 2.525635063648e-04
1.859296411276e-01 0.000000000000e+00 2.269707620144e-04
1.909547746181e-01 0.000000000000e+00 2.002529799938e-04
1.959798932076e-01 0.000000000000e+00 1.718215644360e-04
2.010050266981e-01 0.000000000000e+00 1.418553292751e-04
2.060301452875e-01 0.000000000000e+00 1.107193529606e-04
2.110552787781e-01 0.000000000000e+00 7.846951484680e-05
2.160803973675e-01 0.000000000000e+00 4.508718848228e-05
2.211055308580e-01 0.000000000000e+00 1.081451773643e-05
2.261306494474e-01 0.000000000000e+00 2.428516745567e-05
2.311557829380e-01 0.000000000000e+00 6.040185689926e-05
2.361809015274e-01 0.000000000000e+00 9.684264659882e-05
2.412060201168e-01 0.000000000000e+00 1.340061426163e-04
2.462311536074e-01 0.000000000000e+00 1.714155077934e-04
2.512562870979e-01 0.000000000000e+00 2.096146345139e-04
2.562814056873e-01 0.000000000000e+00 2.476871013641e-04
2.613065242767e-01 0.000000000000e+00 2.860873937607e-04
2.663316428661e-01 0.000000000000e+00 3.247484564781e-04
2.713567912579e-01 0.000000000000e+00 3.632754087448e-04
2.763819098473e-01 0.000000000000e+00 4.016160964966e-04
2.814070284367e-01 0.000000000000e+00 4.398450255394e-04
2.864321470261e-01 0.000000000000e+00 4.782751202583e-04
2.914572954178e-01 0.000000000000e+00 5.161166191101e-04
2.964824140072e-01 0.000000000000e+00 5.536153912544e-04
3.015075325966e-01 0.000000000000e+00 5.905479192734e-04
3.065326511860e-01 0.000000000000e+00 6.271153688431e-04
3.115577995777e-01 0.000000000000e+00 6.631761789322e-04
3.165829181671e-01 0.000000000000e+00 6.985291838646e-04
3.216080367565e-01 0.000000000000e+00 7.333457469940e-04
3.266331553459e-01 0.000000000000e+00 7.671117782593e-04
3.316582739353e-01 0.000000000000e+00 8.003413677216e-04
3.366834223270e-01 0.000000000000e+00 8.326470851898e-04
3.417085409164e-01 0.000000000000e+00 8.636564016342e-04
3.467336595058e-01 0.000000000000e+00 8.942857384682e-04
3.517587780952e-01 0.000000000000e+00 9.234398603439e-04
3.567839264870e-01 0.000000000000e+00 9.517520666122e-04
3.618090450764e-01 0.000000000000e+00 9.786635637283e-04
3.668341636658e-01 0.000000000000e+00 1.004651188850e-03
3.718592822552e-01 0.000000000000e+00 1.029431819916e-03
3.768844306469e-01 0.000000000000e+00 1.052826642990e-03
3.819095492363e-01 0.000000000000e+00 1.075014472008e-03
3.869346678257e-01 0.000000000000e+00 1.095652580261e-03
3.919597864151e-01 0.000000000000e+00 1.115009188652e-03
3.969849348068e-01 0.000000000000e+00 1.133054494858e-03
4.020100533962e-01 0.000000000000e+00 1.149401068687e-03
4.070351719856e-01 0.000000000000e+00 1.164615154266e-03
4.120602905750e-01 0.000000000000e+00 1.178160309792e-03
4.170854091644e-01 0.000000000000e+00 1.189887523651e-03
4.221105575562e-01 0.000000000000e+00 1.200407743454e-03
4.271356761456e-01 0.000000000000e+00 1.209229230881e-03
4.321607947350e-01 0.000000000000e+00 1.216351985931e-03
4.371859133244e-01 0.000000000000e+00 1.221910119057e-03
4.422110617161e-01 0.000000000000e+00 1.225993037224e-03
4.472361803055e-01 0.000000000000e+00 1.228004693985e-03
4.522612988949e-01 0.000000000000e+00 1.228570938110e-03
4.572864174843e-01 0.000000000000e+00 1.227214932442e-03
4.623115658760e-01 0.000000000000e+00 1.224115490913e-03
4.673366844654e-01 0.000000000000e+00 1.219570636749e-03
4.723618030548e-01 0.000000000000e+00 1.213043928146e-03
4.773869216442e-01 0.000000000000e+00 1.204639673233e-03
4.824120402336e-01 0.000000000000e+00 1.194581389427e-03
4.874371886253e-01 0.000000000000e+00 1.182600855827e-03
4.924623072147e-01 0.000000000000e+00 1.169070601463e-03
4.974874258041e-01 0.000000000000e+00 1.153588294983e-03
5.025125741959e-01 0.000000000000e+00 1.136392354965e-03
5.075377225876e-01 0.000000000000e+00 1.117408275604e-03
5.125628113747e-01 0.000000000000e+00 1.096516847610e-03
5.175879597664e-01 0.000000000000e+00 1.074016094208e-03
5.226130485535e-01 0.000000000000e+00 1.049607992172e-03
5.276381969452e-01 0.000000000000e+00 1.023620367050e-03
5.326633453369e-01 0.000000000000e+00 9.956061840057e-04
5.376884341240e-01 0.000000000000e+00 9.658634662628e-04
5.427135825157e-01 0.000000000000e+00 9.346306324005e-04
5.477386713028e-01 0.000000000000e+00 9.014904499054e-04
5.527638196945e-01 0.000000000000e+00 8.666813373566e-04
5.577889680862e-01 0.000000000000e+00 8.302628993988e-04
5.628140568733e-01 0.000000000000e+00 7.920861244202e-04
5.678392052650e-01 0.000000000000e+00 7.523000240326e-04
5.728643536568e-01 0.000000000000e+00 7.109045982361e-04
5.778894424438e-01 0.000000000000e+00 6.681978702545e-04
5.829145908356e-01 0.000000000000e+00 6.236433982849e-04
5.879396796227e-01 0.000000000000e+00 5.778968334198e-04
5.929648280144e-01 0.000000000000e+00 5.305409431458e-04
5.979899764061e-01 0.000000000000e+00 4.817545413971e-04
6.030150651932e-01 0.000000000000e+00 4.312396049500e-04
6.080402135849e-01 0.000000000000e+00 3.798305988312e-04
6.130653023720e-01 0.000000000000e+00 3.271996974945e-04
6.180904507637e-01 0.000000000000e+00 2.728402614594e-04
6.231155991554e-01 0.000000000000e+00 2.177059650421e-04
6.281406879425e-01 0.000000000000e+00 1.612603664398e-04
6.331658363342e-01 0.000000000000e+00 1.036524772644e-04
6.381909847260e-01 0.000000000000e+00 4.547834396362e-05
6.432160735130e-01 0.000000000000e+00 1.421570777893e-05
6.482412219048e-01 0.000000000000e+00 7.447600364685e-05
6.532663106918e-01 0.000000000000e+00 1.355707645416e-04
6.582914590836e-01 0.000000000000e+00 1.976490020752e-04
6.633166074753e-01 0.000000000000e+00 2.601444721222e-04
6.683416962624e-01 0.000000000000e+00 3.231167793274e-04
6.733668446541e-01 0.000000000000e+00 3.868043422699e-04
6.783919334412e-01 0.000000000000e+00 4.508793354034e-04
6.834170818329e-01 0.000000000000e+00 5.154907703400e-04
6.884422302246e-01 0.000000000000e+00 5.799233913422e-04
6.934673190117e-01 0.000000000000e+00 6.448030471802e-04
6.984924674034e-01 0.000000000000e+00 7.095038890839e-04
7.035176157951e-01 0.000000000000e+00 7.742047309875e-04
7.085427045822e-01 0.000000000000e+00 8.387565612793e-04
7.135678529739e-01 0.000000000000e+00 9.030699729919e-04
7.185929417610e-01 0.000000000000e+00 9.669065475464e-04
7.236180901527e-01 0.000000000000e+00 1.030325889587e-03
7.286432385445e-01 0.000000000000e+00 1.093029975891e-03
7.336683273315e-01 0.000000000000e+00 1.154959201813e-03
7.386934757233e-01 0.000000000000e+00 1.215934753418e-03
7.437186241150e-01 0.000000000000e+00 1.275897026062e-03
7.487437129021e-01 0.000000000000e+00 1.334667205811e-03
7.537688612938e-01 0.000000000000e+00 1.392483711243e-03
7.587939500809e-01 0.000000000000e+00 1.448094844818e-03
7.638190984726e-01 0.000000000000e+00 1.502513885498e-03
7.688442468643e-01 0.000000000000e+00 1.555144786835e-03
7.738693356514e-01 0.000000000000e+00 1.605689525604e-03
7.788944840431e-01 0.000000000000e+00 1.654386520386e-03
7.839195728302e-01 0.000000000000e+00 1.700520515442e-03
7.889447212219e-01 0.000000000000e+00 1.744508743286e-03
7.939698696136e-01 0.000000000000e+00 1.785457134247e-03
7.989949584007e-01 0.000000000000e+00 1.824021339417e-03
8.040201067924e-01 0.000000000000e+00 1.859307289124e-03
8.090452551842e-01 0.000000000000e+00 1.891195774078e-03
8.140703439713e-01 0.000000000000e+00 1.920044422150e-03
8.190954923630e-01 0.000000000000e+00 1.944899559021e-03
8.241205811501e-01 0.000000000000e+00 1.966238021851e-03
8.291457295418e-01 0.000000000000e+00 1.983404159546e-03
8.341708779335e-01 0.000000000000e+00 1.995980739594e-03
8.391959667206e-01 0.000000000000e+00 2.004444599152e-03
8.442211151123e-01 0.000000000000e+00 2.008020877838e-03
8.492462038994e-01 0.000000000000e+00 2.006769180298e-03
8.542713522911e-01 0.000000000000e+00 2.000033855438e-03
8.592965006828e-01 0.000000000000e+00 1.988053321838e-03
8.643215894699e-01 0.000000000000e+00 1.970112323761e-03
8.693467378616e-01 0.000000000000e+00 1.946389675140e-03
8.743718862534e-01 0.000000000000e+00 1.916289329529e-03
8.793969750404e-01 0.000000000000e+00 1.880228519440e-03
8.844221234322e-01 0.000000000000e+00 1.836717128754e-03
8.894472122192e-01 0.000000000000e+00 1.786231994629e-03
8.944723606110e-01 0.000000000000e+00 1.728594303131e-03
8.994975090027e-01 0.000000000000e+00 1.663029193878e-03
9.045225977898e-01 0.000000000000e+00 1.589894294739e-03
9.095477461815e-01 0.000000000000e+00 1.508116722107e-03
9.145728945732e-01 0.000000000000e+00 1.418113708496e-03
9.195979833603e-01 0.000000000000e+00 1.318871974945e-03
9.246231317520e-01 0.000000000000e+00 1.210689544678e-03
9.296482205391e-01 0.000000000000e+00 1.092791557312e-03
9.346733689308e-01 0.000000000000e+00 9.652376174927e-04
9.396985173225e-01 0.000000000000e+00 8.270740509033e-04
9.447236061096e-01 0.000000000000e+00 6.788372993469e-04
9.497487545013e-01 0.000000000000e+00 5.195140838623e-04
9.547738432884e-01 0.000000000000e+00 3.487467765808e-04
9.597989916801e-01 0.000000000000e+00 1.668334007263e-04
9.648241400719e-01 0.000000000000e+00 2.753734588623e-05
9.698492288589e-01 0.000000000000e+00 2.341270446777e-04
9.748743772507e-01 0.000000000000e+00 4.534125328064e-04
9.798995256424e-01 0.000000000000e+00 6.856918334961e-04
9.849246144295e-01 0.000000000000e+00 9.315013885498e-04
9.899497628212e-01 0.000000000000e+00 1.191258430481e-03
9.949748516083e-01 0.000000000000e+00 1.465260982513e-03
1.000000000000e+00 0.000000000000e+00 1.754105091095e-03
0.000000000000e+00 5.025125574321e-03 1.118294894695e-03
5.025125574321e-03 5.025125574321e-03 9.861459257081e-04
1.005025114864e-02 5.025125574321e-03 8.615109836683e-04
1.507537625730e-02 5.025125574321e-03 7.442784262821e-04
2.010050229728e-02 5.025125574321e-03 6.342172273435e-04
2.512562833726e-02 5.025125574321e-03 5.309846601449e-04
3.015075251460e-02 5.025125574321e-03 4.345955676399e-04
3.517587855458e-02 5.025125574321e-03 3.445436013862e-04
4.020100459456e-02 5.025125574321e-03 2.608580980450e-04
4.522613063455e-02 5.025125574321e-03 1.834649592638e-04
5.025125667453e-02 5.025125574321e-03 1.122446265072e-04
5.527638271451e-02 5.025125574321e-03 4.625879228115e-05
6.030150502920e-02 5.025125574321e-03 1.389742828906e-05
6.532663106918e-02 5.025125574321e-03 6.890809163451e-05
7.035175710917e-02 5.025125574321e-03 1.186248846352e-04
7.537688314915e-02 5.025125574321e-03 1.631528139114e-04
8.040200918913e-02 5.025125574321e-03 2.029528841376e-04
8.542713522911e-02 5.025125574321e-03 2.380926162004e-04
9.045226126909e-02 5.025125574321e-03 2.689361572266e-04
9.547738730907e-02 5.025125574321e-03 2.952683717012e-04
1.005025133491e-01 5.025125574321e-03 3.176787868142e-04
1.055276393890e-01 5.025125574321e-03 3.360453993082e-04
1.105527654290e-01 5.025125574321e-03 3.506243228912e-04
1.155778914690e-01 5.025125574321e-03 3.613689914346e-04
1.206030100584e-01 5.025125574321e-03 3.689164295793e-04
1.256281435490e-01 5.025125574321e-03 3.728792071342e-04
1.306532621384e-01 5.025125574321e-03 3.735404461622e-04
1.356783956289e-01 5.025125574321e-03 3.714766353369e-04
1.407035142183e-01 5.025125574321e-03 3.663096576929e-04
1.457286477089e-01 5.025125574321e-03 3.584492951632e-04
1.507537662983e-01 5.025125574321e-03 3.482326865196e-04
1.557788997889e-01 5.025125574321e-03 3.353245556355e-04
1.608040183783e-01 5.025125574321e-03 3.201104700565e-04
1.658291369677e-01 5.025125574321e-03 3.024991601706e-04
