x y value
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
5.025125574321e-03 0.000000000000e+00 2.525188756408e-05
1.005025114864e-02 0.000000000000e+00 1.010075502563e-04
1.507537625730e-02 0.000000000000e+00 2.272669662489e-04
2.010050229728e-02 0.000000000000e+00 4.040302010253e-04
2.512562833726e-02 0.000000000000e+00 6.312971818261e-04
3.015075251460e-02 0.000000000000e+00 9.090678649954e-04
3.517587855458e-02 0.000000000000e+00 1.237342483364e-03
4.020100459456e-02 0.000000000000e+00 1.616120804101e-03
4.522613063455e-02 0.000000000000e+00 2.045403001830e-03
5.025125667453e-02 0.000000000000e+00 2.525188727304e-03
5.527638271451e-02 0.000000000000e+00 3.055478446186e-03
6.030150502920e-02 0.000000000000e+00 3.636271459982e-03
6.532663106918e-02 0.000000000000e+00 4.267568700016e-03
7.035175710917e-02 0.000000000000e+00 4.949369933456e-03
7.537688314915e-02 0.000000000000e+00 5.681674461812e-03
8.040200918913e-02 0.000000000000e+00 6.464483216405e-03
8.542713522911e-02 0.000000000000e+00 7.297795265913e-03
9.045226126909e-02 0.000000000000e+00 8.181612007320e-03
9.547738730907e-02 0.000000000000e+00 9.115931577981e-03
1.005025133491e-01 0.000000000000e+00 1.010075490922e-02
1.055276393890e-01 0.000000000000e+00 1.113608293235e-02
1.105527654290e-01 0.000000000000e+00 1.222191378474e-02
1.155778914690e-01 0.000000000000e+00 1.335824932903e-02
1.206030100584e-01 0.000000000000e+00 1.454508583993e-02
1.256281435490e-01 0.000000000000e+00 1.578243076801e-02
1.306532621384e-01 0.000000000000e+00 1.707027480006e-02
1.356783956289e-01 0.000000000000e+00 1.840862631798e-02
1.407035142183e-01 0.000000000000e+00 1.979747973382e-02
1.457286477089e-01 0.000000000000e+00 2.123683877289e-02
1.507537662983e-01 0.000000000000e+00 2.272669784725e-02
1.557788997889e-01 0.000000000000e+00 2.426706627011e-02
1.608040183783e-01 0.000000000000e+00 2.585793286562e-02
1.658291369677e-01 0.000000000000e+00 2.749930322170e-02
