epoch total_loss L_interior L_down_yy L_up_yy L_down L_up L_left L_right
1.000000000000e+00 1.842808246613e+00 1.209896087646e+00 2.117753177881e-01 2.540471591055e-02 1.171574145555e-01 9.920088574290e-03 1.286515034735e-02 2.557893395424e-01
2.000000000000e+00 1.815205454826e+00 1.199754476547e+00 2.122213542461e-01 2.422094345093e-02 1.097179651260e-01 9.945481084287e-03 1.445264928043e-02 2.448925226927e-01
3.000000000000e+00 1.745777010918e+00 1.152654051781e+00 1.953826695681e-01 2.131604775786e-02 1.056366264820e-01 9.718031622469e-03 1.589455083013e-02 2.451750040054e-01
4.000000000000e+00 1.632580041885e+00 1.065162658691e+00 1.806368529797e-01 2.081378735602e-02 1.029140278697e-01 9.681055322289e-03 1.724253036082e-02 2.361291050911e-01
5.000000000000e+00 1.623382687569e+00 1.057481288910e+00 1.935885995626e-01 2.045041322708e-02 9.780134260654e-02 9.506287053227e-03 1.826157793403e-02 2.262930423021e-01
6.000000000000e+00 1.547575831413e+00 9.978534579277e-01 1.978883594275e-01 1.790837198496e-02 9.148581326008e-02 9.054312482476e-03 1.888879016042e-02 2.144966870546e-01
7.000000000000e+00 1.477023601532e+00 9.652277231216e-01 1.735256761312e-01 1.880241930485e-02 8.683203905821e-02 8.435652591288e-03 1.948806457222e-02 2.047119736671e-01
8.000000000000e+00 1.401330113411e+00 8.965726494789e-01 1.764101684093e-01 1.547696720809e-02 8.712002635002e-02 8.457742631435e-03 2.004821784794e-02 1.972443163395e-01
9.000000000000e+00 1.334641456604e+00 8.467510342598e-01 1.700880527496e-01 1.601456664503e-02 8.529173582792e-02 7.365315686911e-03 1.999105513096e-02 1.891396641731e-01
1.000000000000e+01 1.264899373055e+00 7.853853106499e-01 1.752413362265e-01 1.333863474429e-02 8.508911728859e-02 6.764721591026e-03 1.954039558768e-02 1.795397698879e-01
1.100000000000e+01 1.188238143921e+00 7.300270199776e-01 1.599285602570e-01 1.285917870700e-02 8.038545399904e-02 6.851410493255e-03 1.786449365318e-02 1.803220063448e-01
1.200000000000e+01 1.101026058197e+00 6.643611788750e-01 1.616846919060e-01 1.245067082345e-02 7.220534980297e-02 5.367564968765e-03 1.736004091799e-02 1.675965487957e-01
1.300000000000e+01 1.018080949783e+00 5.938127636909e-01 1.575980335474e-01 1.231833174825e-02 7.008609920740e-02 5.039077252150e-03 1.629372499883e-02 1.629329472780e-01
1.400000000000e+01 8.848277330399e-01 4.817418158054e-01 1.512882113457e-01 1.238147821277e-02 6.612996011972e-02 5.472270306200e-03 1.463656686246e-02 1.531773507595e-01
1.500000000000e+01 8.081342577934e-01 4.093914926052e-01 1.511096805334e-01 1.250367239118e-02 6.178342550993e-02 5.787167698145e-03 1.343420706689e-02 1.541245579720e-01
1.600000000000e+01 7.235706448555e-01 3.423012793064e-01 1.375812739134e-01 1.354447845370e-02 6.086915731430e-02 6.825875025243e-03 1.258138101548e-02 1.498672217131e-01
1.700000000000e+01 6.261065006256e-01 2.674448490143e-01 1.313950568438e-01 1.506751868874e-02 5.678360909224e-02 7.559901569039e-03 1.296442467719e-02 1.348911374807e-01
1.800000000000e+01 5.627181529999e-01 2.077852040529e-01 1.368600428104e-01 1.800894178450e-02 5.183845013380e-02 8.298897184432e-03 1.154129207134e-02 1.283853054047e-01
1.900000000000e+01 5.014461278915e-01 1.616475433111e-01 1.273103505373e-01 2.127921022475e-02 5.594560503960e-02 1.009034365416e-02 1.263313367963e-02 1.125399395823e-01
2.000000000000e+01 4.153181314468e-01 9.225647151470e-02 1.238822713494e-01 2.537037618458e-02 5.195434391499e-02 1.018071640283e-02 1.452316716313e-02 9.715075790882e-02
2.100000000000e+01 3.740139603615e-01 6.767265498638e-02 1.238948926330e-01 3.032432682812e-02 5.058981478214e-02 1.023015007377e-02 1.486568804830e-02 7.643643766642e-02
2.200000000000e+01 3.456834852695e-01 5.519003793597e-02 1.171466335654e-01 3.617888689041e-02 5.313680320978e-02 8.765256963670e-03 1.661338098347e-02 5.865249037743e-02
2.300000000000e+01 3.332190215588e-01 5.496728047729e-02 1.198534443974e-01 4.086528345942e-02 5.600550398231e-02 6.482080090791e-03 1.675943471491e-02 3.828601166606e-02
2.400000000000e+01 3.246917426586e-01 6.333441287279e-02 1.135758608580e-01 4.192155599594e-02 6.081167235970e-02 4.019966814667e-03 1.780369319022e-02 2.322457544506e-02
2.500000000000e+01 3.388017416000e-01 7.390907406807e-02 1.236387863755e-01 4.287103191018e-02 6.579653918743e-02 2.208271063864e-03 1.846474222839e-02 1.191333960742e-02
2.600000000000e+01 3.267182111740e-01 7.597710192204e-02 1.114462092519e-01 4.358359798789e-02 6.795231252909e-02 2.920685568824e-03 1.761365681887e-02 7.224658504128e-03
2.700000000000e+01 3.293586075306e-01 8.251130580902e-02 1.159926131368e-01 4.117016121745e-02 6.314837187529e-02 4.508036188781e-03 1.567300781608e-02 6.355109158903e-03
2.800000000000e+01 3.153925538063e-01 8.060408383608e-02 1.117906570435e-01 3.721309825778e-02 6.062480062246e-02 6.833315361291e-03 1.193342357874e-02 6.393182557076e-03
2.900000000000e+01 3.032651841640e-01 7.658416032791e-02 1.166792958975e-01 3.316240757704e-02 5.155693739653e-02 8.847581222653e-03 8.989002555609e-03 7.445796392858e-03
3.000000000000e+01 2.838295400143e-01 6.654225289822e-02 1.204525828362e-01 3.004788793623e-02 4.084708169103e-02 9.427436627448e-03 6.989615969360e-03 9.522673673928e-03
3.100000000000e+01 2.655203640461e-01 6.312090903521e-02 1.204240247607e-01 2.681456133723e-02 2.926648780704e-02 9.304052218795e-03 5.886243190616e-03 1.070407032967e-02
3.200000000000e+01 2.464429885149e-01 6.026581302285e-02 1.119415760040e-01 2.383521199226e-02 2.180730551481e-02 8.171534165740e-03 5.710174329579e-03 1.471137907356e-02
3.300000000000e+01 2.437721043825e-01 5.825331807137e-02 1.132245585322e-01 2.127372846007e-02 1.801140233874e-02 8.077097125351e-03 6.338228005916e-03 1.859375275671e-02
3.400000000000e+01 2.360004931688e-01 5.754853412509e-02 1.065372452140e-01 1.956325396895e-02 1.506310887635e-02 7.502017077059e-03 7.678511552513e-03 2.210782282054e-02
3.500000000000e+01 2.545153200626e-01 6.613532453775e-02 1.146310642362e-01 1.644258573651e-02 1.616310328245e-02 7.327747531235e-03 7.816103287041e-03 2.599939517677e-02
3.600000000000e+01 2.463388741016e-01 5.764907225966e-02 1.110839396715e-01 1.575388200581e-02 1.586535386741e-02 8.118852972984e-03 7.405366282910e-03 3.046240471303e-02
3.700000000000e+01 2.564241886139e-01 6.635960936546e-02 1.118566617370e-01 1.480669621378e-02 1.891099475324e-02 9.676450863481e-03 6.121178157628e-03 2.869257889688e-02
3.800000000000e+01 2.359731793404e-01 6.014399975538e-02 9.992255270481e-02 1.366121508181e-02 1.724796183407e-02 1.119133085012e-02 4.955749958754e-03 2.885035425425e-02
3.900000000000e+01 2.575649619102e-01 6.672369688749e-02 1.132712960243e-01 1.342729572207e-02 1.797827146947e-02 1.335798855871e-02 3.680643159896e-03 2.912576869130e-02
4.000000000000e+01 2.479054629803e-01 6.819655001163e-02 1.050006747246e-01 1.292192284018e-02 1.579390093684e-02 1.435523480177e-02 2.827313961461e-03 2.880984544754e-02
4.100000000000e+01 2.509590983391e-01 6.347964704037e-02 1.097379177809e-01 1.280881091952e-02 1.731537282467e-02 1.484241802245e-02 2.500660717487e-03 3.027427941561e-02
4.200000000000e+01 2.407041043043e-01 5.502164736390e-02 1.078163683414e-01 1.302671898156e-02 1.730984263122e-02 1.348628196865e-02 2.450024243444e-03 3.159323334694e-02
4.300000000000e+01 2.347875982523e-01 5.325720086694e-02 1.038718596101e-01 1.334818731993e-02 1.640969887376e-02 1.218247320503e-02 2.613973338157e-03 3.310419619083e-02
4.400000000000e+01 2.379967272282e-01 4.859081655741e-02 1.108247414231e-01 1.474899146706e-02 1.855830103159e-02 1.077360194176e-02 2.860603388399e-03 3.163965791464e-02
4.500000000000e+01 2.198822796345e-01 4.299953952432e-02 1.011615023017e-01 1.497888471931e-02 1.674885675311e-02 9.694609791040e-03 2.828277181834e-03 3.147061169147e-02
4.600000000000e+01 2.123257070780e-01 4.037846997380e-02 9.754569828510e-02 1.595916785300e-02 1.648761145771e-02 9.249965660274e-03 2.847419120371e-03 2.985736355186e-02
4.700000000000e+01 2.165158390999e-01 3.653079271317e-02 1.080408096313e-01 1.693995110691e-02 1.787173561752e-02 9.372656233609e-03 2.739479998127e-03 2.502041682601e-02
4.800000000000e+01 2.115848511457e-01 3.536251187325e-02 1.040912196040e-01 1.762979663908e-02 1.899565197527e-02 9.411696344614e-03 2.579067833722e-03 2.351489476860e-02
4.900000000000e+01 2.047531157732e-01 3.404485061765e-02 9.900085628033e-02 1.861355826259e-02 1.823047362268e-02 9.404454380274e-03 2.434276510030e-03 2.302464656532e-02
5.000000000000e+01 2.101570665836e-01 3.448606282473e-02 1.056271120906e-01 1.980669610202e-02 1.748321019113e-02 1.016106642783e-02 2.309579402208e-03 2.028334327042e-02
5.100000000000e+01 2.096054255962e-01 3.520493581891e-02 1.057709753513e-01 2.026934921741e-02 1.757153496146e-02 1.011225022376e-02 2.465657657012e-03 1.821072772145e-02
5.200000000000e+01 2.045340240002e-01 3.357299789786e-02 1.012498438358e-01 2.111575752497e-02 1.709776930511e-02 1.004097424448e-02 2.678142627701e-03 1.877854205668e-02
5.300000000000e+01 2.138201743364e-01 3.465633466840e-02 1.093535944819e-01 2.138445153832e-02 1.961932145059e-02 9.257202968001e-03 3.054762026295e-03 1.649451442063e-02
5.400000000000e+01 2.124557197094e-01 3.587445989251e-02 1.046675145626e-01 2.390258572996e-02 1.878585852683e-02 8.126943372190e-03 3.498630132526e-03 1.759973727167e-02
5.500000000000e+01 2.081015408039e-01 3.174511343241e-02 1.041917130351e-01 2.241635695100e-02 1.943795196712e-02 6.931348238140e-03 4.107870627195e-03 1.927118562162e-02
5.600000000000e+01 2.039478123188e-01 3.081292286515e-02 1.018369644880e-01 2.239559590816e-02 1.832233741879e-02 6.770622916520e-03 4.293543752283e-03 1.951581984758e-02
5.700000000000e+01 2.059530019760e-01 3.075090795755e-02 1.043190211058e-01 2.305301651359e-02 1.793013326824e-02 6.652344483882e-03 4.265484865755e-03 1.898207888007e-02
5.800000000000e+01 1.939721107483e-01 2.937506139278e-02 9.603534638882e-02 2.253584004939e-02 1.768459938467e-02 6.869046017528e-03 4.263673909009e-03 1.720855012536e-02
