x y value
0.00000000e+00 0.00000000e+00 1.47980452e-03
6.71140943e-03 0.00000000e+00 1.11263676e-03
1.34228189e-02 0.00000000e+00 7.64655182e-04
2.01342292e-02 0.00000000e+00 4.35778114e-04
2.68456377e-02 0.00000000e+00 1.25357066e-04
3.35570462e-02 0.00000000e+00 1.67792430e-04
4.02684584e-02 0.00000000e+00 4.43349825e-04
4.69798669e-02 0.00000000e+00 7.01785088e-04
5.36912754e-02 0.00000000e+00 9.44021624e-04
6.04026839e-02 0.00000000e+00 1.17017142e-03
6.71140924e-02 0.00000000e+00 1.38076302e-03
7.38255009e-02 0.00000000e+00 1.57649023e-03
8.05369169e-02 0.00000000e+00 1.75718684e-03
8.72483253e-02 0.00000000e+00 1.92373525e-03
9.39597338e-02 0.00000000e+00 2.07660347e-03
1.00671142e-01 0.00000000e+00 2.21584272e-03
1.07382551e-01 0.00000000e+00 2.34202854e-03
1.14093959e-01 0.00000000e+00 2.45550927e-03
1.20805368e-01 0.00000000e+00 2.55677104e-03
1.27516776e-01 0.00000000e+00 2.64648162e-03
1.34228185e-01 0.00000000e+00 2.72477046e-03
1.40939593e-01 0.00000000e+00 2.79189833e-03
1.47651002e-01 0.00000000e+00 2.84807943e-03
1.54362410e-01 0.00000000e+00 2.89433450e-03
1.61073834e-01 0.00000000e+00 2.93034688e-03
1.67785242e-01 0.00000000e+00 2.95719877e-03
1.74496651e-01 0.00000000e+00 2.97469273e-03
1.81208059e-01 0.00000000e+00 2.98320130e-03
1.87919468e-01 0.00000000e+00 2.98361480e-03
1.94630876e-01 0.00000000e+00 2.97569111e-03
2.01342285e-01 0.00000000e+00 2.96003744e-03
2.08053693e-01 0.00000000e+00 2.93696672e-03
2.14765102e-01 0.00000000e+00 2.90682167e-03
2.21476510e-01 0.00000000e+00 2.87022442e-03
2.28187919e-01 0.00000000e+00 2.82732025e-03
2.34899327e-01 0.00000000e+00 2.77795270e-03
2.41610736e-01 0.00000000e+00 2.72338092e-03
2.48322144e-01 0.00000000e+00 2.66348571e-03
2.55033553e-01 0.00000000e+00 2.59856880e-03
2.61744976e-01 0.00000000e+00 2.52890587e-03
2.68456370e-01 0.00000000e+00 2.45478749e-03
2.75167793e-01 0.00000000e+00 2.37715989e-03
2.81879187e-01 0.00000000e+00 2.29533017e-03
2.88590610e-01 0.00000000e+00 2.21058726e-03
2.95302004e-01 0.00000000e+00 2.12244689e-03
3.02013427e-01 0.00000000e+00 2.03178078e-03
3.08724821e-01 0.00000000e+00 1.93870813e-03
3.15436244e-01 0.00000000e+00 1.84360147e-03
3.22147667e-01 0.00000000e+00 1.74704939e-03
3.28859061e-01 0.00000000e+00 1.64858997e-03
3.35570484e-01 0.00000000e+00 1.54922903e-03
3.42281878e-01 0.00000000e+00 1.44899637e-03
3.48993301e-01 0.00000000e+00 1.34817511e-03
3.55704695e-01 0.00000000e+00 1.24710798e-03
3.62416118e-01 0.00000000e+00 1.14598870e-03
3.69127512e-01 0.00000000e+00 1.04540586e-03
3.75838935e-01 0.00000000e+00 9.45374370e-04
3.82550329e-01 0.00000000e+00 8.46147537e-04
3.89261752e-01 0.00000000e+00 7.48068094e-04
3.95973146e-01 0.00000000e+00 6.51627779e-04
4.02684569e-01 0.00000000e+00 5.56722283e-04
4.09395963e-01 0.00000000e+00 4.63724136e-04
4.16107386e-01 0.00000000e+00 3.73005867e-04
4.22818780e-01 0.00000000e+00 2.84790993e-04
4.29530203e-01 0.00000000e+00 1.99228525e-04
4.36241627e-01 0.00000000e+00 1.16407871e-04
4.42953020e-01 0.00000000e+00 3.71336937e-05
4.49664444e-01 0.00000000e+00 3.91006470e-05
4.56375837e-01 0.00000000e+00 1.11594796e-04
4.63087261e-01 0.00000000e+00 1.80289149e-04
4.69798654e-01 0.00000000e+00 2.44855881e-04
4.76510078e-01 0.00000000e+00 3.05399299e-04
4.83221471e-01 0.00000000e+00 3.61591578e-04
4.89932895e-01 0.00000000e+00 4.13313508e-04
4.96644288e-01 0.00000000e+00 4.59998846e-04
5.03355682e-01 0.00000000e+00 5.02228737e-04
5.10067105e-01 0.00000000e+00 5.39273024e-04
5.16778529e-01 0.00000000e+00 5.71250916e-04
5.23489952e-01 0.00000000e+00 5.98132610e-04
5.30201316e-01 0.00000000e+00 6.19173050e-04
5.36912739e-01 0.00000000e+00 6.35147095e-04
5.43624163e-01 0.00000000e+00 6.45756721e-04
5.50335586e-01 0.00000000e+00 6.50525093e-04
5.57046950e-01 0.00000000e+00 6.49750233e-04
5.63758373e-01 0.00000000e+00 6.43193722e-04
5.70469797e-01 0.00000000e+00 6.30915165e-04
5.77181220e-01 0.00000000e+00 6.12884760e-04
5.83892643e-01 0.00000000e+00 5.89221716e-04
5.90604007e-01 0.00000000e+00 5.59717417e-04
5.97315431e-01 0.00000000e+00 5.24610281e-04
6.04026854e-01 0.00000000e+00 4.83900309e-04
6.10738277e-01 0.00000000e+00 4.37766314e-04
6.17449641e-01 0.00000000e+00 3.85791063e-04
6.24161065e-01 0.00000000e+00 3.28391790e-04
6.30872488e-01 0.00000000e+00 2.66134739e-04
6.37583911e-01 0.00000000e+00 1.98185444e-04
6.44295275e-01 0.00000000e+00 1.25706196e-04
6.51006699e-01 0.00000000e+00 4.79817390e-05
6.57718122e-01 0.00000000e+00 3.40044498e-05
6.64429545e-01 0.00000000e+00 1.20371580e-04
6.71140909e-01 0.00000000e+00 2.11089849e-04
6.77852333e-01 0.00000000e+00 3.05712223e-04
6.84563756e-01 0.00000000e+00 4.03851271e-04
6.91275179e-01 0.00000000e+00 5.05715609e-04
6.97986603e-01 0.00000000e+00 6.10500574e-04
7.04697967e-01 0.00000000e+00 7.17759132e-04
7.11409390e-01 0.00000000e+00 8.27610493e-04
7.18120813e-01 0.00000000e+00 9.39488411e-04
7.24832237e-01 0.00000000e+00 1.05285645e-03
7.31543601e-01 0.00000000e+00 1.16717815e-03
7.38255024e-01 0.00000000e+00 1.28281116e-03
7.44966447e-01 0.00000000e+00 1.39820576e-03
7.51677871e-01 0.00000000e+00 1.51336193e-03
7.58389235e-01 0.00000000e+00 1.62810087e-03
7.65100658e-01 0.00000000e+00 1.74158812e-03
7.71812081e-01 0.00000000e+00 1.85292959e-03
7.78523505e-01 0.00000000e+00 1.96200609e-03
7.85234928e-01 0.00000000e+00 2.06810236e-03
7.91946292e-01 0.00000000e+00 2.17056274e-03
7.98657715e-01 0.00000000e+00 2.26867199e-03
8.05369139e-01 0.00000000e+00 2.36171484e-03
8.12080562e-01 0.00000000e+00 2.44915485e-03
8.18791926e-01 0.00000000e+00 2.53051519e-03
8.25503349e-01 0.00000000e+00 2.60448456e-03
8.32214773e-01 0.00000000e+00 2.67082453e-03
8.38926196e-01 0.00000000e+00 2.72810459e-03
8.45637560e-01 0.00000000e+00 2.77638435e-03
8.52348983e-01 0.00000000e+00 2.81411409e-03
8.59060407e-01 0.00000000e+00 2.84081697e-03
8.65771830e-01 0.00000000e+00 2.85571814e-03
8.72483194e-01 0.00000000e+00 2.85780430e-03
8.79194617e-01 0.00000000e+00 2.84576416e-03
8.85906041e-01 0.00000000e+00 2.81935930e-03
8.92617464e-01 0.00000000e+00 2.77704000e-03
8.99328887e-01 0.00000000e+00 2.71821022e-03
9.06040251e-01 0.00000000e+00 2.64161825e-03
9.12751675e-01 0.00000000e+00 2.54660845e-03
9.19463098e-01 0.00000000e+00 2.43258476e-03
9.26174521e-01 0.00000000e+00 2.29710340e-03
9.32885885e-01 0.00000000e+00 2.14028358e-03
9.39597309e-01 0.00000000e+00 1.96081400e-03
9.46308732e-01 0.00000000e+00 1.75732374e-03
9.53020155e-01 0.00000000e+00 1.52909756e-03
9.59731519e-01 0.00000000e+00 1.27476454e-03
9.66442943e-01 0.00000000e+00 9.93132591e-04
9.73154366e-01 0.00000000e+00 6.83486462e-04
9.79865789e-01 0.00000000e+00 3.44336033e-04
9.86577153e-01 0.00000000e+00 2.52723694e-05
9.93288577e-01 0.00000000e+00 4.26650047e-04
1.00000000e+00 0.00000000e+00 8.60929489e-04
0.00000000e+00 6.71140943e-03 1.44404173e-03
6.71140943e-03 6.71140943e-03 1.08331535e-03
1.34228189e-02 6.71140943e-03 7.41560245e-04
