epoch total_loss interior_loss down_yy_loss up_yy_loss down_loss up_loss left_loss right_loss
1 3.12748814e+00 1.76142776e+00 1.90868586e-01 7.04233274e-02 4.88163322e-01 8.00548494e-03 3.68397646e-02 5.71760058e-01
2 3.05572820e+00 1.75013661e+00 2.08244264e-01 6.80491850e-02 4.70301241e-01 8.31974670e-03 3.57749760e-02 5.14902055e-01
3 3.04383326e+00 1.75542688e+00 1.96433604e-01 6.67080581e-02 4.60462332e-01 7.61954393e-03 3.20942961e-02 5.25088668e-01
4 3.06948876e+00 1.79223835e+00 2.02888370e-01 7.01561868e-02 4.35637176e-01 7.76892062e-03 3.43441032e-02 5.26455581e-01
5 3.07444906e+00 1.81822300e+00 1.87247902e-01 7.15824887e-02 4.42013413e-01 7.83737097e-03 3.11302673e-02 5.16414464e-01
6 2.99878955e+00 1.74333894e+00 1.84937596e-01 7.08400682e-02 4.44526643e-01 7.48929754e-03 3.15171294e-02 5.16140044e-01
7 3.00068521e+00 1.76965344e+00 2.07984596e-01 6.76248893e-02 4.44788098e-01 7.13357469e-03 2.80254483e-02 4.75475550e-01
8 2.98577785e+00 1.78198266e+00 1.93971992e-01 6.84231743e-02 4.18679982e-01 7.98578281e-03 2.84120664e-02 4.86322224e-01
9 2.89212394e+00 1.73671806e+00 1.92590863e-01 6.47768006e-02 4.00459319e-01 7.82789942e-03 2.68203747e-02 4.62930471e-01
10 2.89157605e+00 1.72291541e+00 1.98926985e-01 6.82352260e-02 4.04897988e-01 7.12585216e-03 2.54134350e-02 4.64061081e-01
11 2.86324263e+00 1.70838046e+00 1.97832048e-01 6.63508549e-02 4.01312500e-01 7.46566616e-03 2.52186377e-02 4.56682444e-01
12 2.86032724e+00 1.70245206e+00 2.09407881e-01 6.57825097e-02 3.77561122e-01 7.59467063e-03 2.54007354e-02 4.72128510e-01
13 2.86117983e+00 1.72921813e+00 1.97321683e-01 6.79253563e-02 4.02143270e-01 7.64935138e-03 2.37437375e-02 4.33178306e-01
14 2.78372669e+00 1.67321205e+00 1.80957094e-01 6.86564520e-02 3.71449471e-01 7.69433519e-03 2.41437126e-02 4.57613736e-01
15 2.81363559e+00 1.72751319e+00 2.01165423e-01 6.63656965e-02 3.72184724e-01 7.87476357e-03 2.21636742e-02 4.16368216e-01
16 2.76685476e+00 1.70614839e+00 1.81680873e-01 6.35596588e-02 3.52028012e-01 7.62654236e-03 2.31784862e-02 4.32632685e-01
17 2.78061104e+00 1.71880651e+00 2.01380476e-01 6.54184148e-02 3.56485903e-01 7.86858890e-03 2.07303278e-02 4.09920931e-01
18 2.74308586e+00 1.69770551e+00 1.91417396e-01 6.38685450e-02 3.54105592e-01 8.26916471e-03 2.16892641e-02 4.06030715e-01
19 2.69843459e+00 1.65255451e+00 1.89280957e-01 6.50630146e-02 3.51671964e-01 7.88289402e-03 2.12537162e-02 4.10727561e-01
20 2.65819240e+00 1.64322710e+00 2.05145672e-01 6.45310357e-02 3.30614150e-01 8.02444667e-03 1.94747839e-02 3.87175024e-01
21 2.71724749e+00 1.71433794e+00 2.15649188e-01 6.12252317e-02 3.32292527e-01 8.53014458e-03 1.89046022e-02 3.66307765e-01
22 2.65878010e+00 1.68096638e+00 2.02143356e-01 6.10921718e-02 3.17835301e-01 8.24039895e-03 1.86663829e-02 3.69836211e-01
