x y value
0.00000000e+00 0.00000000e+00 4.74523380e-03
6.71140943e-03 0.00000000e+00 4.39836131e-03
1.34228189e-02 0.00000000e+00 4.08112118e-03
2.01342292e-02 0.00000000e+00 3.78893060e-03
2.68456377e-02 0.00000000e+00 3.51779629e-03
3.35570462e-02 0.00000000e+00 3.26449261e-03
4.02684584e-02 0.00000000e+00 3.02614341e-03
4.69798669e-02 0.00000000e+00 2.80064717e-03
5.36912754e-02 0.00000000e+00 2.58606719e-03
6.04026839e-02 0.00000000e+00 2.38100253e-03
6.71140924e-02 0.00000000e+00 2.18409766e-03
7.38255009e-02 0.00000000e+00 1.99421914e-03
8.05369169e-02 0.00000000e+00 1.81066897e-03
8.72483253e-02 0.00000000e+00 1.63243059e-03
9.39597338e-02 0.00000000e+00 1.45887956e-03
1.00671142e-01 0.00000000e+00 1.28949527e-03
1.07382551e-01 0.00000000e+00 1.12360530e-03
1.14093959e-01 0.00000000e+00 9.60734673e-04
1.20805368e-01 0.00000000e+00 8.00270587e-04
1.27516776e-01 0.00000000e+00 6.41917810e-04
1.34228185e-01 0.00000000e+00 4.85077500e-04
1.40939593e-01 0.00000000e+00 3.29257920e-04
1.47651002e-01 0.00000000e+00 1.74177811e-04
1.54362410e-01 0.00000000e+00 1.94348395e-05
1.61073834e-01 0.00000000e+00 1.35578215e-04
1.67785242e-01 0.00000000e+00 2.90989876e-04
1.74496651e-01 0.00000000e+00 4.47079539e-04
1.81208059e-01 0.00000000e+00 6.04368746e-04
1.87919468e-01 0.00000000e+00 7.63062388e-04
1.94630876e-01 0.00000000e+00 9.23208892e-04
2.01342285e-01 0.00000000e+00 1.08514726e-03
2.08053693e-01 0.00000000e+00 1.24906376e-03
2.14765102e-01 0.00000000e+00 1.41498074e-03
2.21476510e-01 0.00000000e+00 1.58278272e-03
2.28187919e-01 0.00000000e+00 1.75283849e-03
2.34899327e-01 0.00000000e+00 1.92488730e-03
2.41610736e-01 0.00000000e+00 2.09883228e-03
2.48322144e-01 0.00000000e+00 2.27474421e-03
2.55033553e-01 0.00000000e+00 2.45230645e-03
2.61744976e-01 0.00000000e+00 2.63129920e-03
2.68456370e-01 0.00000000e+00 2.81156600e-03
2.75167793e-01 0.00000000e+00 2.99289823e-03
2.81879187e-01 0.00000000e+00 3.17474455e-03
2.88590610e-01 0.00000000e+00 3.35684419e-03
2.95302004e-01 0.00000000e+00 3.53889912e-03
3.02013427e-01 0.00000000e+00 3.72031331e-03
3.08724821e-01 0.00000000e+00 3.90094519e-03
3.15436244e-01 0.00000000e+00 4.08010930e-03
3.22147667e-01 0.00000000e+00 4.25730646e-03
3.28859061e-01 0.00000000e+00 4.43220884e-03
3.35570484e-01 0.00000000e+00 4.60422039e-03
3.42281878e-01 0.00000000e+00 4.77281958e-03
3.48993301e-01 0.00000000e+00 4.93752956e-03
3.55704695e-01 0.00000000e+00 5.09780645e-03
