x y value
0.00000000e+00 0.00000000e+00 0.00000000e+00
6.71140943e-03 0.00000000e+00 4.50430161e-05
1.34228189e-02 0.00000000e+00 1.80172065e-04
2.01342292e-02 0.00000000e+00 4.05387196e-04
2.68456377e-02 0.00000000e+00 7.20688258e-04
3.35570462e-02 0.00000000e+00 1.12607540e-03
4.02684584e-02 0.00000000e+00 1.62154878e-03
4.69798669e-02 0.00000000e+00 2.20710784e-03
5.36912754e-02 0.00000000e+00 2.88275303e-03
6.04026839e-02 0.00000000e+00 3.64848413e-03
6.71140924e-02 0.00000000e+00 4.50430159e-03
7.38255009e-02 0.00000000e+00 5.45020448e-03
8.05369169e-02 0.00000000e+00 6.48619514e-03
8.72483253e-02 0.00000000e+00 7.61227030e-03
9.39597338e-02 0.00000000e+00 8.82843137e-03
1.00671142e-01 0.00000000e+00 1.01346793e-02
1.07382551e-01 0.00000000e+00 1.15310121e-02
1.14093959e-01 0.00000000e+00 1.30174318e-02
1.20805368e-01 0.00000000e+00 1.45939365e-02
1.27516776e-01 0.00000000e+00 1.62605289e-02
1.34228185e-01 0.00000000e+00 1.80172063e-02
1.40939593e-01 0.00000000e+00 1.98639687e-02
1.47651002e-01 0.00000000e+00 2.18008179e-02
1.54362410e-01 0.00000000e+00 2.38277540e-02
1.61073834e-01 0.00000000e+00 2.59447806e-02
1.67785242e-01 0.00000000e+00 2.81518884e-02
1.74496651e-01 0.00000000e+00 3.04490812e-02
1.81208059e-01 0.00000000e+00 3.28363590e-02
1.87919468e-01 0.00000000e+00 3.53137255e-02
1.94630876e-01 0.00000000e+00 3.78811769e-02
2.01342285e-01 0.00000000e+00 4.05387171e-02
2.08053693e-01 0.00000000e+00 4.32863384e-02
2.14765102e-01 0.00000000e+00 4.61240485e-02
2.21476510e-01 0.00000000e+00 4.90518436e-02
2.28187919e-01 0.00000000e+00 5.20697273e-02
2.34899327e-01 0.00000000e+00 5.51776923e-02
2.41610736e-01 0.00000000e+00 5.83757460e-02
2.48322144e-01 0.00000000e+00 6.16638884e-02
2.55033553e-01 0.00000000e+00 6.50421157e-02
2.61744976e-01 0.00000000e+00 6.85104355e-02
2.68456370e-01 0.00000000e+00 7.20688254e-02
2.75167793e-01 0.00000000e+00 7.57173151e-02
2.81879187e-01 0.00000000e+00 7.94558749e-02
2.88590610e-01 0.00000000e+00 8.32845420e-02
2.95302004e-01 0.00000000e+00 8.72032717e-02
3.02013427e-01 0.00000000e+00 9.12121087e-02
3.08724821e-01 0.00000000e+00 9.53110158e-02
3.15436244e-01 0.00000000e+00 9.95000228e-02
3.22147667e-01 0.00000000e+00 1.03779122e-01
3.28859061e-01 0.00000000e+00 1.08148284e-01
3.35570484e-01 0.00000000e+00 1.12607554e-01
3.42281878e-01 0.00000000e+00 1.17156886e-01
3.48993301e-01 0.00000000e+00 1.21796325e-01
3.55704695e-01 0.00000000e+00 1.26525834e-01
3.62416118e-01 0.00000000e+00 1.31345436e-01
3.69127512e-01 0.00000000e+00 1.36255115e-01
3.75838935e-01 0.00000000e+00 1.41254902e-01
3.82550329e-01 0.00000000e+00 1.46344751e-01
3.89261752e-01 0.00000000e+00 1.51524708e-01
3.95973146e-01 0.00000000e+00 1.56794727e-01
4.02684569e-01 0.00000000e+00 1.62154868e-01
4.09395963e-01 0.00000000e+00 1.67605057e-01
4.16107386e-01 0.00000000e+00 1.73145354e-01
4.22818780e-01 0.00000000e+00 1.78775728e-01
4.29530203e-01 0.00000000e+00 1.84496194e-01
4.36241627e-01 0.00000000e+00 1.90306753e-01
4.42953020e-01 0.00000000e+00 1.96207374e-01
4.49664444e-01 0.00000000e+00 2.02198118e-01
4.56375837e-01 0.00000000e+00 2.08278909e-01
4.63087261e-01 0.00000000e+00 2.14449808e-01
4.69798654e-01 0.00000000e+00 2.20710769e-01
4.76510078e-01 0.00000000e+00 2.27061853e-01
4.83221471e-01 0.00000000e+00 2.33502984e-01
4.89932895e-01 0.00000000e+00 2.40034238e-01
4.96644288e-01 0.00000000e+00 2.46655554e-01
5.03355682e-01 0.00000000e+00 2.53366947e-01
5.10067105e-01 0.00000000e+00 2.60168463e-01
5.16778529e-01 0.00000000e+00 2.67060041e-01
5.23489952e-01 0.00000000e+00 2.74041742e-01
5.30201316e-01 0.00000000e+00 2.81113446e-01
5.36912739e-01 0.00000000e+00 2.88275301e-01
5.43624163e-01 0.00000000e+00 2.95527220e-01
5.50335586e-01 0.00000000e+00 3.02869260e-01
5.57046950e-01 0.00000000e+00 3.10301304e-01
5.63758373e-01 0.00000000e+00 3.17823499e-01
5.70469797e-01 0.00000000e+00 3.25435787e-01
5.77181220e-01 0.00000000e+00 3.33138168e-01
5.83892643e-01 0.00000000e+00 3.40930611e-01
5.90604007e-01 0.00000000e+00 3.48813087e-01
5.97315431e-01 0.00000000e+00 3.56785715e-01
6.04026854e-01 0.00000000e+00 3.64848435e-01
6.10738277e-01 0.00000000e+00 3.73001248e-01
6.17449641e-01 0.00000000e+00 3.81244063e-01
6.24161065e-01 0.00000000e+00 3.89577031e-01
6.30872488e-01 0.00000000e+00 3.98000091e-01
6.37583911e-01 0.00000000e+00 4.06513244e-01
6.44295275e-01 0.00000000e+00 4.15116400e-01
6.51006699e-01 0.00000000e+00 4.23809707e-01
6.57718122e-01 0.00000000e+00 4.32593137e-01
6.64429545e-01 0.00000000e+00 4.41466630e-01
6.71140909e-01 0.00000000e+00 4.50430125e-01
6.77852333e-01 0.00000000e+00 4.59483773e-01
6.84563756e-01 0.00000000e+00 4.68627542e-01
6.91275179e-01 0.00000000e+00 4.77861375e-01
6.97986603e-01 0.00000000e+00 4.87185299e-01
7.04697967e-01 0.00000000e+00 4.96599227e-01
7.11409390e-01 0.00000000e+00 5.06103337e-01
7.18120813e-01 0.00000000e+00 5.15697479e-01
7.24832237e-01 0.00000000e+00 5.25381744e-01
7.31543601e-01 0.00000000e+00 5.35156012e-01
7.38255024e-01 0.00000000e+00 5.45020461e-01
7.44966447e-01 0.00000000e+00 5.54975033e-01
7.51677871e-01 0.00000000e+00 5.65019608e-01
7.58389235e-01 0.00000000e+00 5.75154245e-01
7.65100658e-01 0.00000000e+00 5.85379004e-01
7.71812081e-01 0.00000000e+00 5.95693886e-01
7.78523505e-01 0.00000000e+00 6.06098831e-01
7.85234928e-01 0.00000000e+00 6.16593897e-01
7.91946292e-01 0.00000000e+00 6.27178907e-01
7.98657715e-01 0.00000000e+00 6.37854159e-01
8.05369139e-01 0.00000000e+00 6.48619473e-01
8.12080562e-01 0.00000000e+00 6.59474850e-01
8.18791926e-01 0.00000000e+00 6.70420229e-01
8.25503349e-01 0.00000000e+00 6.81455791e-01
8.32214773e-01 0.00000000e+00 6.92581415e-01
8.38926196e-01 0.00000000e+00 7.03797162e-01
8.45637560e-01 0.00000000e+00 7.15102911e-01
8.52348983e-01 0.00000000e+00 7.26498783e-01
8.59060407e-01 0.00000000e+00 7.37984776e-01
8.65771830e-01 0.00000000e+00 7.49560833e-01
8.72483194e-01 0.00000000e+00 7.61226952e-01
8.79194617e-01 0.00000000e+00 7.72983193e-01
8.85906041e-01 0.00000000e+00 7.84829497e-01
8.92617464e-01 0.00000000e+00 7.96765924e-01
8.99328887e-01 0.00000000e+00 8.08792472e-01
9.06040251e-01 0.00000000e+00 8.20908964e-01
9.12751675e-01 0.00000000e+00 8.33115637e-01
9.19463098e-01 0.00000000e+00 8.45412374e-01
9.26174521e-01 0.00000000e+00 8.57799232e-01
9.32885885e-01 0.00000000e+00 8.70276093e-01
9.39597309e-01 0.00000000e+00 8.82843077e-01
9.46308732e-01 0.00000000e+00 8.95500243e-01
9.53020155e-01 0.00000000e+00 9.08247411e-01
9.59731519e-01 0.00000000e+00 9.21084583e-01
9.66442943e-01 0.00000000e+00 9.34011936e-01
9.73154366e-01 0.00000000e+00 9.47029412e-01
9.79865789e-01 0.00000000e+00 9.60136950e-01
9.86577153e-01 0.00000000e+00 9.73334491e-01
9.93288577e-01 0.00000000e+00 9.86622214e-01
1.00000000e+00 0.00000000e+00 1.00000000e+00
0.00000000e+00 6.71140943e-03 0.00000000e+00
6.71140943e-03 6.71140943e-03 4.47417260e-05
1.34228189e-02 6.71140943e-03 1.78966904e-04
2.01342292e-02 6.71140943e-03 4.02675592e-04
2.68456377e-02 6.71140943e-03 7.15867616e-04
3.35570462e-02 6.71140943e-03 1.11854309e-03
4.02684584e-02 6.71140943e-03 1.61070237e-03
4.69798669e-02 6.71140943e-03 2.19234452e-03
5.36912754e-02 6.71140943e-03 2.86347046e-03
6.04026839e-02 6.71140943e-03 3.62407952e-03
6.71140924e-02 6.71140943e-03 4.47417237e-03
7.38255009e-02 6.71140943e-03 5.41374832e-03
8.05369169e-02 6.71140943e-03 6.44280948e-03
8.72483253e-02 6.71140943e-03 7.56135210e-03
9.39597338e-02 6.71140943e-03 8.76937807e-03
1.00671142e-01 6.71140943e-03 1.00668892e-02
1.07382551e-01 6.71140943e-03 1.14538819e-02
1.14093959e-01 6.71140943e-03 1.29303588e-02
1.20805368e-01 6.71140943e-03 1.44963181e-02
