epoch total_loss physics_loss bc_u_loss bc_yy_loss interface_value_loss interface_dx_loss interface_dy_loss
1 7.39243603e+00 5.48496914e+00 1.49860430e+00 4.08862472e-01 2.27906197e-01 3.68421763e-01 1.38357297e-01
2 7.23996925e+00 5.33766460e+00 1.47404325e+00 4.28261161e-01 2.19746217e-01 3.65364730e-01 1.35515451e-01
3 7.30463219e+00 5.44482613e+00 1.44230163e+00 4.17504221e-01 2.15787992e-01 3.61775517e-01 1.35063514e-01
4 7.22478294e+00 5.39777756e+00 1.41802466e+00 4.08980817e-01 1.99727714e-01 3.51825237e-01 1.35197759e-01
5 7.21816921e+00 5.31677723e+00 1.47404444e+00 4.27347720e-01 2.20532060e-01 3.62866342e-01 1.35670751e-01
6 7.08193064e+00 5.25336885e+00 1.40876830e+00 4.19793606e-01 2.06873253e-01 3.54800344e-01 1.33403972e-01
7 7.11815834e+00 5.25471544e+00 1.43192220e+00 4.31520224e-01 2.04021811e-01 3.62103641e-01 1.38314351e-01
8 6.97561741e+00 5.14407158e+00 1.42965937e+00 4.01886255e-01 1.94586217e-01 3.62256199e-01 1.38094544e-01
9 6.85335350e+00 5.02569199e+00 1.41137874e+00 4.16282445e-01 2.04531789e-01 3.65257263e-01 1.32277846e-01
10 6.85345364e+00 5.07602358e+00 1.37251437e+00 4.04915899e-01 1.91974908e-01 3.54343176e-01 1.34954825e-01
11 6.64963913e+00 4.88006163e+00 1.35178590e+00 4.17791396e-01 1.95521951e-01 3.56952876e-01 1.33622870e-01
12 6.74190903e+00 4.94814110e+00 1.35559165e+00 4.38176304e-01 1.86027586e-01 3.47324789e-01 1.35179445e-01
13 6.71885872e+00 4.96876621e+00 1.37042964e+00 3.79662752e-01 1.95832595e-01 3.58292192e-01 1.35230348e-01
14 6.70940351e+00 4.95108318e+00 1.34916973e+00 4.09150809e-01 1.82567447e-01 3.53898525e-01 1.37749121e-01
15 6.76052094e+00 5.04495192e+00 1.31464326e+00 4.00925636e-01 1.90367788e-01 3.50622684e-01 1.32998466e-01
16 6.45194054e+00 4.72526932e+00 1.31806254e+00 4.08608586e-01 1.95621297e-01 3.54910970e-01 1.33848891e-01
17 6.61400795e+00 4.89183140e+00 1.30605984e+00 4.16116536e-01 1.83901310e-01 3.44504416e-01 1.35388404e-01
18 6.43792534e+00 4.77158499e+00 1.27132034e+00 3.95019859e-01 1.84168398e-01 3.47598910e-01 1.36109903e-01
19 6.39622068e+00 4.77116823e+00 1.22660661e+00 3.98445606e-01 1.95208549e-01 3.62942517e-01 1.34910196e-01
20 6.43901873e+00 4.76816082e+00 1.26982820e+00 4.01029736e-01 1.75532371e-01 3.48993480e-01 1.36902317e-01
21 6.37721586e+00 4.72423649e+00 1.25008762e+00 4.02891576e-01 1.93942666e-01 3.54965806e-01 1.33353889e-01
22 6.27843618e+00 4.66068220e+00 1.23479903e+00 3.82954955e-01 1.79758564e-01 3.48375142e-01 1.37254342e-01
23 6.27643394e+00 4.63837290e+00 1.21991777e+00 4.18143421e-01 1.79161221e-01 3.51914048e-01 1.40812293e-01
24 6.21382523e+00 4.59621811e+00 1.22634721e+00 3.91260087e-01 1.83567986e-01 3.52986544e-01 1.36481598e-01
25 6.24756527e+00 4.69071817e+00 1.18935323e+00 3.67493689e-01 2.01176375e-01 3.51987332e-01 1.32077992e-01
26 6.03397512e+00 4.48018980e+00 1.18859076e+00 3.65194649e-01 1.99910030e-01 3.56846571e-01 1.36522159e-01
27 6.14284372e+00 4.54687548e+00 1.18855178e+00 4.07416403e-01 1.82825148e-01 3.49507987e-01 1.41514048e-01
28 5.84302568e+00 4.24932480e+00 1.18554926e+00 4.08151537e-01 1.86159685e-01 3.52552235e-01 1.39653593e-01
29 6.10753059e+00 4.54094458e+00 1.16809762e+00 3.98488611e-01 1.87295452e-01 3.49399984e-01 1.39235944e-01
