x y value
0.00000000e+00 0.00000000e+00 4.21900116e-03
6.71140943e-03 0.00000000e+00 2.62724096e-03
1.34228189e-02 0.00000000e+00 1.10714906e-03
2.01342292e-02 0.00000000e+00 3.41244799e-04
2.68456377e-02 0.00000000e+00 1.71773217e-03
3.35570462e-02 0.00000000e+00 3.02240229e-03
4.02684584e-02 0.00000000e+00 4.25507594e-03
4.69798669e-02 0.00000000e+00 5.41569479e-03
5.36912754e-02 0.00000000e+00 6.50413847e-03
6.04026839e-02 0.00000000e+00 7.52034783e-03
6.71140924e-02 0.00000000e+00 8.46417341e-03
7.38255009e-02 0.00000000e+00 9.33552720e-03
8.05369169e-02 0.00000000e+00 1.01343160e-02
8.72483253e-02 0.00000000e+00 1.08603658e-02
9.39597338e-02 0.00000000e+00 1.15137342e-02
1.00671142e-01 0.00000000e+00 1.20941522e-02
1.07382551e-01 0.00000000e+00 1.26014426e-02
1.14093959e-01 0.00000000e+00 1.30355442e-02
1.20805368e-01 0.00000000e+00 1.33965183e-02
1.27516776e-01 0.00000000e+00 1.36839449e-02
1.34228185e-01 0.00000000e+00 1.38978250e-02
1.40939593e-01 0.00000000e+00 1.40378643e-02
1.47651002e-01 0.00000000e+00 1.41042080e-02
1.54362410e-01 0.00000000e+00 1.40964687e-02
1.61073834e-01 0.00000000e+00 1.40146427e-02
1.67785242e-01 0.00000000e+00 1.38584115e-02
1.74496651e-01 0.00000000e+00 1.36278309e-02
1.81208059e-01 0.00000000e+00 1.33225434e-02
1.87919468e-01 0.00000000e+00 1.29425749e-02
1.94630876e-01 0.00000000e+00 1.24875419e-02
2.01342285e-01 0.00000000e+00 1.19575597e-02
2.08053693e-01 0.00000000e+00 1.13521889e-02
2.14765102e-01 0.00000000e+00 1.06713921e-02
2.21476510e-01 0.00000000e+00 9.91493464e-03
2.28187919e-01 0.00000000e+00 9.08278301e-03
2.34899327e-01 0.00000000e+00 8.17458704e-03
2.41610736e-01 0.00000000e+00 7.19030946e-03
2.48322144e-01 0.00000000e+00 6.12962246e-03
2.55033553e-01 0.00000000e+00 4.99235094e-03
2.61744976e-01 0.00000000e+00 3.77851725e-03
2.68456370e-01 0.00000000e+00 2.48772651e-03
2.75167793e-01 0.00000000e+00 1.11982971e-03
2.81879187e-01 0.00000000e+00 3.25351954e-04
2.88590610e-01 0.00000000e+00 1.84800476e-03
2.95302004e-01 0.00000000e+00 3.44826281e-03
3.02013427e-01 0.00000000e+00 5.12652844e-03
3.08724821e-01 0.00000000e+00 6.88270479e-03
3.15436244e-01 0.00000000e+00 8.71726871e-03
3.22147667e-01 0.00000000e+00 1.06302723e-02
3.28859061e-01 0.00000000e+00 1.26218647e-02
3.35570484e-01 0.00000000e+00 1.46924481e-02
3.42281878e-01 0.00000000e+00 1.68420970e-02
3.48993301e-01 0.00000000e+00 1.90710649e-02
3.55704695e-01 0.00000000e+00 2.13794932e-02
3.62416118e-01 0.00000000e+00 2.37676427e-02
3.69127512e-01 0.00000000e+00 2.62357369e-02
3.75838935e-01 0.00000000e+00 2.87839845e-02
3.82550329e-01 0.00000000e+00 7.24533647e-02
3.89261752e-01 0.00000000e+00 6.85413480e-02
3.95973146e-01 0.00000000e+00 6.46943003e-02
4.02684569e-01 0.00000000e+00 6.09126687e-02
4.09395963e-01 0.00000000e+00 5.71964681e-02
4.16107386e-01 0.00000000e+00 5.35455197e-02
4.22818780e-01 0.00000000e+00 4.99602705e-02
4.29530203e-01 0.00000000e+00 4.64408249e-02
4.36241627e-01 0.00000000e+00 4.29873914e-02
4.42953020e-01 0.00000000e+00 3.96000892e-02
4.49664444e-01 0.00000000e+00 3.62789780e-02
4.56375837e-01 0.00000000e+00 3.30244601e-02
4.63087261e-01 0.00000000e+00 2.98365355e-02
4.69798654e-01 0.00000000e+00 2.67158449e-02
4.76510078e-01 0.00000000e+00 2.36622095e-02
4.83221471e-01 0.00000000e+00 2.06759125e-02
4.89932895e-01 0.00000000e+00 1.77573860e-02
4.96644288e-01 0.00000000e+00 1.49067491e-02
5.03355682e-01 0.00000000e+00 1.21245235e-02
5.10067105e-01 0.00000000e+00 9.41088796e-03
5.16778529e-01 0.00000000e+00 6.76596165e-03
5.23489952e-01 0.00000000e+00 4.19029593e-03
5.30201316e-01 0.00000000e+00 1.68401003e-03
5.36912739e-01 0.00000000e+00 7.52449036e-04
5.43624163e-01 0.00000000e+00 3.11851501e-03
5.50335586e-01 0.00000000e+00 5.41418791e-03
5.57046950e-01 0.00000000e+00 7.63881207e-03
5.63758373e-01 0.00000000e+00 9.79211926e-03
5.70469797e-01 0.00000000e+00 1.18736327e-02
5.77181220e-01 0.00000000e+00 1.38829350e-02
5.83892643e-01 0.00000000e+00 1.58198178e-02
5.90604007e-01 0.00000000e+00 1.76833570e-02
5.97315431e-01 0.00000000e+00 1.94737315e-02
6.04026854e-01 0.00000000e+00 2.11898685e-02
6.10738277e-01 0.00000000e+00 2.28318274e-02
6.17449641e-01 0.00000000e+00 2.43989825e-02
6.24161065e-01 0.00000000e+00 2.58905292e-02
6.30872488e-01 0.00000000e+00 2.73065269e-02
6.37583911e-01 0.00000000e+00 2.86457837e-02
6.44295275e-01 0.00000000e+00 2.99083889e-02
6.51006699e-01 0.00000000e+00 3.10933590e-02
6.57718122e-01 0.00000000e+00 3.22005451e-02
6.64429545e-01 0.00000000e+00 3.32292318e-02
6.71140909e-01 0.00000000e+00 3.41787040e-02
6.77852333e-01 0.00000000e+00 3.50486934e-02
6.84563756e-01 0.00000000e+00 3.58384550e-02
6.91275179e-01 0.00000000e+00 3.65473926e-02
6.97986603e-01 0.00000000e+00 3.71747613e-02
7.04697967e-01 0.00000000e+00 3.77205908e-02
7.11409390e-01 0.00000000e+00 3.81834507e-02
7.18120813e-01 0.00000000e+00 3.85631919e-02
7.24832237e-01 0.00000000e+00 3.88593078e-02
7.31543601e-01 0.00000000e+00 3.90710235e-02
7.38255024e-01 0.00000000e+00 3.91975045e-02
7.44966447e-01 0.00000000e+00 3.92383933e-02
7.51677871e-01 0.00000000e+00 3.91928554e-02
7.58389235e-01 0.00000000e+00 3.90605927e-02
7.65100658e-01 0.00000000e+00 3.88406515e-02
7.71812081e-01 0.00000000e+00 3.85323763e-02
7.78523505e-01 0.00000000e+00 3.81352901e-02
7.85234928e-01 0.00000000e+00 3.76483798e-02
7.91946292e-01 0.00000000e+00 3.70714068e-02
7.98657715e-01 0.00000000e+00 3.64035368e-02
8.05369139e-01 0.00000000e+00 3.56440544e-02
8.12080562e-01 0.00000000e+00 3.47923636e-02
8.18791926e-01 0.00000000e+00 3.38478088e-02
8.25503349e-01 0.00000000e+00 3.28093767e-02
8.32214773e-01 0.00000000e+00 3.16768289e-02
8.38926196e-01 0.00000000e+00 3.04493904e-02
8.45637560e-01 0.00000000e+00 2.91263461e-02
8.52348983e-01 0.00000000e+00 2.77069211e-02
8.59060407e-01 0.00000000e+00 2.61905789e-02
8.65771830e-01 0.00000000e+00 2.45764852e-02
8.72483194e-01 0.00000000e+00 2.28639841e-02
8.79194617e-01 0.00000000e+00 2.10525990e-02
8.85906041e-01 0.00000000e+00 1.91413760e-02
8.92617464e-01 0.00000000e+00 1.71298981e-02
8.99328887e-01 0.00000000e+00 1.50173903e-02
9.06040251e-01 0.00000000e+00 1.28031969e-02
9.12751675e-01 0.00000000e+00 1.04864240e-02
9.19463098e-01 0.00000000e+00 8.06671381e-03
9.26174521e-01 0.00000000e+00 5.54335117e-03
9.32885885e-01 0.00000000e+00 2.91556120e-03
9.39597309e-01 0.00000000e+00 1.82867050e-04
9.46308732e-01 0.00000000e+00 2.65538692e-03
9.53020155e-01 0.00000000e+00 5.60009480e-03
9.59731519e-01 0.00000000e+00 8.65161419e-03
9.66442943e-01 0.00000000e+00 1.18107200e-02
9.73154366e-01 0.00000000e+00 1.50783062e-02
9.79865789e-01 0.00000000e+00 1.84546709e-02
9.86577153e-01 0.00000000e+00 2.19404697e-02
9.93288577e-01 0.00000000e+00 2.55361199e-02
1.00000000e+00 0.00000000e+00 2.92425752e-02
0.00000000e+00 6.71140943e-03 4.28324006e-03
6.71140943e-03 6.71140943e-03 2.70311441e-03
1.34228189e-02 6.71140943e-03 1.19409920e-03
2.01342292e-02 6.71140943e-03 2.43880204e-04
2.68456377e-02 6.71140943e-03 1.61064509e-03
3.35570462e-02 6.71140943e-03 2.90616555e-03
4.02684584e-02 6.71140943e-03 4.13020281e-03
4.69798669e-02 6.71140943e-03 5.28293662e-03
5.36912754e-02 6.71140943e-03 6.36415742e-03
6.04026839e-02 6.71140943e-03 7.37362728e-03
6.71140924e-02 6.71140943e-03 8.31140578e-03
7.38255009e-02 6.71140943e-03 9.17740352e-03
8.05369169e-02 6.71140943e-03 9.97146964e-03
8.72483253e-02 6.71140943e-03 1.06934290e-02
9.39597338e-02 6.71140943e-03 1.13432501e-02
1.00671142e-01 6.71140943e-03 1.19207520e-02
1.07382551e-01 6.71140943e-03 1.24259088e-02
1.14093959e-01 6.71140943e-03 1.28584197e-02
1.20805368e-01 6.71140943e-03 1.32183759e-02
1.27516776e-01 6.71140943e-03 1.35054756e-02
1.34228185e-01 6.71140943e-03 1.37196332e-02
1.40939593e-01 6.71140943e-03 1.38607305e-02
